[-0.6283, -0.5080, -0.0103, -0.3733, 0.5060, -0.7532]
[-0.6283, -0.4748, -0.0005, -0.4065, 0.5107, -0.7864]
[-0.6283, -0.4416, 0.0092, -0.4397, 0.5155, -0.8196]
[-0.4945, -0.4463, -0.0196, -0.3248, 0.3299, -0.7930]
[-0.5035, -0.4187, -0.0039, -0.3580, 0.3631, -0.8245]
[-0.5126, -0.3912, 0.0117, -0.3912, 0.3963, -0.8378]
[-0.5216, -0.3636, 0.0274, -0.4244, 0.4295, -0.8378]
[-0.5307, -0.3361, 0.0430, -0.4576, 0.4627, -0.8378]
[-0.5313, -0.4519, -0.0123, -0.3320, 0.3238, -0.8023]
[-0.5326, -0.4187, -0.0168, -0.3652, 0.3484, -0.8323]
[-0.5339, -0.3855, -0.0213, -0.3984, 0.3730, -0.8378]
[-0.5352, -0.3523, -0.0258, -0.4316, 0.3976, -0.8378]
[-0.5365, -0.3191, -0.0303, -0.4648, 0.4222, -0.8378]
[-0.4718, -0.3810, -0.0131, -0.3182, 0.4007, -0.8149]
[-0.4723, -0.3478, -0.0184, -0.3514, 0.4308, -0.8378]
[-0.4729, -0.3146, -0.0237, -0.3846, 0.4610, -0.8378]
[-0.4735, -0.2814, -0.0290, -0.4178, 0.4911, -0.8378]
[-0.4740, -0.2482, -0.0343, -0.4510, 0.5213, -0.8378]
[-0.5006, -0.2841, -0.0225, -0.3916, 0.4567, -0.8378]
[-0.4926, -0.2509, -0.0293, -0.4248, 0.4899, -0.8378]
[-0.4846, -0.2177, -0.0362, -0.4580, 0.5231, -0.8378]
[-0.4766, -0.1845, -0.0431, -0.4912, 0.5563, -0.8378]
[-0.4687, -0.1513, -0.0500, -0.5244, 0.5895, -0.8378]
[-0.5002, -0.2841, -0.0288, -0.3916, 0.4567, -0.8378]
[-0.4918, -0.2509, -0.0421, -0.4248, 0.4899, -0.8378]
[-0.4834, -0.2177, -0.0553, -0.4580, 0.5231, -0.8378]
[-0.4751, -0.1845, -0.0685, -0.4912, 0.5563, -0.8378]
[-0.4667, -0.1513, -0.0818, -0.5244, 0.5895, -0.8378]
[-0.4843, -0.2187, -0.0423, -0.4562, 0.4269, -0.8031]
[-0.4778, -0.1855, -0.0688, -0.4894, 0.4467, -0.8272]
